Symbol: TMUS Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
65,FReversalSwing(SELL),Sell to Close,-3.0,$139.32,10/25/22,$23.40,$487.35,0.0,
66,FReversalSwing(BUY),Buy to Open,2.0,$141.57,12/12/22,,$489.01,2.0,
67,FReversalSwing(BUY),Buy to Open,2.0,$142.40,12/13/22,,$481.73,4.0,
68,FReversalSwing(BUY),Buy to Open,2.0,$140.58,12/14/22,,$492.41,6.0,
69,FReversalSwing(SELL),Sell to Close,-6.0,$148.57,1/9/23,$42.32,$529.67,0.0,
70,FReversalSwing(BUY),Buy to Open,2.0,$141.29,3/2/23,,$529.39,2.0,
71,FReversalSwing(BUY),Buy to Open,2.0,$141.15,3/3/23,,$532.39,4.0,
72,FReversalSwing(SELL),Sell to Close,-4.0,$145.61,3/21/23,$17.56,$547.23,0.0,
73,FReversalSwing(BUY),Buy to Open,2.0,$159.82,4/16/24,,$547.17,2.0,
74,FReversalSwing(BUY),Buy to Open,2.0,$159.79,4/17/24,,$548.37,4.0,
75,FReversalSwing(SELL),Sell to Close,-4.0,$162.33,4/22/24,$10.10,$557.33,0.0,
