Symbol: GIS Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
291,DTSreversal(SELL),Sell to Close,-35.0,$70.83,10/15/24,$0.00,$4698.37,-35.0,
292,DTSreversal(BUY),Buy to Open,35.0,$70.83,10/15/24,,$4712.37,0.0,
293,DTSreversal(SELL),Sell to Close,-35.0,$71.23,10/16/24,$0.00,$4720.42,-35.0,
294,DTSreversal(BUY),Buy to Open,35.0,$71.23,10/16/24,,$4712.37,0.0,
295,DTSreversal(SELL),Sell to Close,-35.0,$71.00,10/17/24,$0.00,$4723.57,-35.0,
296,DTSreversal(BUY),Buy to Open,35.0,$71.00,10/17/24,,$4712.37,0.0,
297,DTSreversal(SELL),Sell to Close,-35.0,$70.68,10/18/24,$0.00,$4738.62,-35.0,
298,DTSreversal(BUY),Buy to Open,35.0,$70.68,10/18/24,,$4712.37,0.0,
299,DTSreversal(SELL),Sell to Close,-35.0,$69.93,10/21/24,$0.00,$4752.97,-35.0,
300,DTSreversal(BUY),Buy to Open,35.0,$69.93,10/21/24,,$4712.37,0.0,
301,DTSreversal(SELL),Sell to Close,-36.0,$68.77,10/22/24,$0.00,$4701.21,-36.0,
302,DTSreversal(BUY),Buy to Open,36.0,$68.77,10/22/24,,$4712.37,0.0,
303,DTSreversal(SELL),Sell to Close,-36.0,$69.08,10/23/24,$0.00,$4730.37,-36.0,
304,DTSreversal(BUY),Buy to Open,36.0,$69.08,10/23/24,,$4712.37,0.0,
305,DTSreversal(SELL),Sell to Close,-36.0,$68.58,10/24/24,$0.00,$4711.29,-36.0,
306,DTSreversal(BUY),Buy to Open,36.0,$68.58,10/24/24,,$4712.37,0.0,
307,DTSreversal(SELL),Sell to Close,-36.0,$68.61,10/25/24,$0.00,$4723.53,-36.0,
308,DTSreversal(BUY),Buy to Open,36.0,$68.61,10/25/24,,$4712.37,0.0,
309,DTSreversal(SELL),Sell to Close,-36.0,$68.30,10/28/24,$0.00,$4713.45,-36.0,
310,DTSreversal(BUY),Buy to Open,36.0,$68.30,10/28/24,,$4712.37,0.0,
311,DTSreversal(SELL),Sell to Close,-36.0,$68.27,10/29/24,$0.00,$4723.89,-36.0,
312,DTSreversal(BUY),Buy to Open,36.0,$68.27,10/29/24,,$4712.37,0.0,
