Symbol: VNOM Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,33.0,$30.06,9/20/19,,($5.61),33.0,
2,keepbusy_cross(SELL),Sell to Close,-33.0,$29.76,9/23/19,($9.97),($9.97),0.0,
