Symbol: AVTR Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,37.0,$26.50,8/2/24,,($33.30),37.0,
2,keepbusy_cross(SELL),Sell to Close,-37.0,$25.02,10/4/24,($54.86),($54.86),0.0,
