Symbol: CRM Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,DTSreversal(BUY),Buy to Open,492.0,$5.08,8/19/05,,$19.68,492.0,
2,DTSreversal(BUY),Buy to Open,488.0,$5.12,8/22/05,,($56.27),980.0,
3,DTSreversal(BUY),Buy to Open,495.0,$5.04,8/23/05,,($137.40),1475.0,
4,DTSreversal(SELL),Sell to Close,-1475.0,$5.43,9/9/05,$507.92,$507.92,0.0,
5,DTSreversal(BUY),Buy to Open,472.0,$5.30,10/13/05,,$584.62,472.0,
6,DTSreversal(SELL),Sell to Close,-472.0,$5.93,10/21/05,$298.54,$806.46,0.0,
7,DTSreversal(BUY),Buy to Open,284.0,$8.78,2/13/06,,$746.82,284.0,
8,DTSreversal(BUY),Buy to Open,291.0,$8.57,2/14/06,,$802.88,575.0,
9,DTSreversal(BUY),Buy to Open,288.0,$8.66,2/15/06,,$684.22,863.0,
10,DTSreversal(SELL),Sell to Close,-863.0,$9.51,3/6/06,$727.82,$1534.27,0.0,
11,DTSreversal(BUY),Buy to Open,289.0,$8.63,4/10/06,,$1556.67,289.0,
12,DTSreversal(BUY),Buy to Open,300.0,$8.32,4/12/06,,$1443.21,589.0,
13,DTSreversal(BUY),Buy to Open,300.0,$8.31,4/13/06,,$1545.44,889.0,
14,DTSreversal(SELL),Sell to Close,-889.0,$6.30,6/14/06,($1884.62),($350.35),0.0,
15,DTSreversal(BUY),Buy to Open,256.0,$9.75,12/1/06,,($391.95),256.0,
16,DTSreversal(BUY),Buy to Open,260.0,$9.59,12/4/06,,($370.02),516.0,
17,DTSreversal(BUY),Buy to Open,259.0,$9.63,12/5/06,,($426.21),775.0,
18,DTSreversal(SELL),Sell to Close,-775.0,$9.88,1/6/07,$174.08,($176.27),0.0,
19,DTSreversal(BUY),Buy to Open,231.0,$10.81,3/1/07,,($111.59),231.0,
20,DTSreversal(BUY),Buy to Open,234.0,$10.66,3/5/07,,($335.31),465.0,
21,DTSreversal(BUY),Buy to Open,240.0,$10.39,3/6/07,,($56.83),705.0,
22,DTSreversal(SELL),Sell to Close,-705.0,$11.22,4/4/07,$422.59,$246.32,0.0,
23,DTSreversal(BUY),Buy to Open,241.0,$10.35,4/20/07,,$267.41,241.0,
24,DTSreversal(BUY),Buy to Open,239.0,$10.44,4/23/07,,$212.21,480.0,
25,DTSreversal(BUY),Buy to Open,242.0,$10.32,4/24/07,,$172.50,722.0,
26,DTSreversal(SELL),Sell to Close,-722.0,$11.02,5/16/07,$467.68,$714.00,0.0,
27,DTSreversal(BUY),Buy to Open,182.0,$13.68,1/9/08,,$697.16,182.0,
28,DTSreversal(BUY),Buy to Open,184.0,$13.58,1/10/08,,$811.54,366.0,
29,DTSreversal(BUY),Buy to Open,183.0,$13.62,1/14/08,,$871.93,549.0,
30,DTSreversal(SELL),Sell to Close,-549.0,$15.42,2/29/08,$982.80,$1696.80,0.0,
31,DTSreversal(BUY),Buy to Open,153.0,$16.31,7/10/08,,$1684.56,153.0,
32,DTSreversal(BUY),Buy to Open,154.0,$16.23,7/11/08,,$1560.22,307.0,
33,DTSreversal(BUY),Buy to Open,158.0,$15.82,7/14/08,,$1454.44,465.0,
34,DTSreversal(SELL),Sell to Close,-465.0,$17.68,7/21/08,$730.65,$2427.45,0.0,
35,DTSreversal(BUY),Buy to Open,159.0,$15.66,7/29/08,,$2469.98,159.0,
36,DTSreversal(SELL),Sell to Close,-159.0,$17.05,8/6/08,$221.01,$2648.46,0.0,
37,DTSreversal(SELL),Sell to Close,-268.0,$9.32,6/23/09,$0.00,$2614.29,-268.0,
38,DTSreversal(BUY),Buy to Open,268.0,$9.32,6/23/09,,$2648.46,0.0,
39,DTSreversal(SELL),Sell to Close,-281.0,$8.89,7/8/09,$0.00,$2583.13,-281.0,
40,DTSreversal(BUY),Buy to Open,281.0,$8.89,7/8/09,,$2648.46,0.0,
41,DTSreversal(BUY),Buy to Open,149.0,$16.72,1/22/10,,$2561.29,149.0,
42,DTSreversal(BUY),Buy to Open,154.0,$16.14,1/25/10,,$2530.24,303.0,
43,DTSreversal(BUY),Buy to Open,155.0,$16.03,1/26/10,,$2676.80,458.0,
44,DTSreversal(SELL),Sell to Close,-458.0,$17.11,2/19/10,$376.42,$3024.88,0.0,
45,DTSreversal(BUY),Buy to Open,128.0,$19.38,5/10/10,,$3279.92,128.0,
46,DTSreversal(SELL),Sell to Close,-128.0,$21.37,5/11/10,$255.04,$3279.92,0.0,
47,DTSreversal(BUY),Buy to Open,95.0,$26.24,10/7/10,,$3279.20,95.0,
48,DTSreversal(BUY),Buy to Open,95.0,$26.23,10/8/10,,$3324.33,190.0,
49,DTSreversal(BUY),Buy to Open,94.0,$26.47,10/11/10,,$2901.17,284.0,
50,DTSreversal(SELL),Sell to Close,-284.0,$28.14,10/26/10,$518.69,$3798.61,0.0,
51,DTSreversal(BUY),Buy to Open,78.0,$31.96,1/25/11,,$3723.34,78.0,
52,DTSreversal(BUY),Buy to Open,80.0,$30.99,1/26/11,,$3893.98,158.0,
53,DTSreversal(BUY),Buy to Open,77.0,$32.07,1/27/11,,$3891.04,235.0,
54,DTSreversal(SELL),Sell to Close,-235.0,$35.38,2/14/11,$872.04,$4670.65,0.0,
