Symbol: AN Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,516.0,$1.94,11/5/93,,$0.00,516.0,
2,keepbusy_cross(SELL),Sell to Close,-516.0,$1.84,11/16/93,($49.91),($49.91),0.0,
3,keepbusy_cross(Buy),Buy to Open,551.0,$1.81,5/5/95,,($32.69),551.0,
4,keepbusy_cross(SELL),Sell to Close,-551.0,$10.95,10/4/95,$5,036.91,$4,987.01,0.0,
5,keepbusy_cross(Buy),Buy to Open,55.0,$18.10,7/17/09,,$4,994.16,55.0,
6,keepbusy_cross(SELL),Sell to Close,-55.0,$18.35,9/2/09,$13.62,$5,000.63,0.0,
7,keepbusy_cross(Buy),Buy to Open,48.0,$20.55,4/23/10,,$5,025.11,48.0,
8,keepbusy_cross(SELL),Sell to Close,-48.0,$18.95,5/7/10,($76.86),$4,923.77,0.0,
9,keepbusy_cross(Buy),Buy to Open,44.0,$22.54,7/23/10,,$4,950.17,44.0,
10,keepbusy_cross(SELL),Sell to Close,-44.0,$22.82,9/29/10,$12.50,$4,936.27,0.0,
11,keepbusy_cross(Buy),Buy to Open,38.0,$25.69,11/5/10,,$4,962.49,38.0,
12,keepbusy_cross(SELL),Sell to Close,-38.0,$32.72,4/14/11,$267.04,$5,203.31,0.0,
13,keepbusy_cross(Buy),Buy to Open,20.0,$49.88,12/9/16,,$5,185.11,20.0,
14,keepbusy_cross(SELL),Sell to Close,-20.0,$47.30,12/15/16,($51.60),$5,151.71,0.0,
15,keepbusy_cross(Buy),Buy to Open,8.0,$124.94,11/12/21,,$5,181.63,8.0,
16,keepbusy_cross(SELL),Sell to Close,-8.0,$115.42,11/18/21,($76.18),$5,075.53,0.0,
17,keepbusy_cross(Buy),Buy to Open,6.0,$145.23,6/9/23,,$5,055.97,6.0,
18,keepbusy_cross(SELL),Sell to Close,-6.0,$153.73,8/10/23,$50.98,$5,126.51,0.0,
19,keepbusy_cross(Buy),Buy to Open,6.0,$152.00,12/22/23,,$5,119.79,6.0,
20,keepbusy_cross(SELL),Sell to Close,-6.0,$144.24,1/4/24,($46.57),$5,079.94,0.0,
