Symbol: LITE Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,11.0,$89.52,11/6/20,,($9.46),11.0,
2,keepbusy_cross(SELL),Sell to Close,-11.0,$82.70,11/13/20,($75.04),($75.04),0.0,
