Symbol: VEEV Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,16.0,$61.55,2/26/18,,$8.80,16.0,
2,keepbusy_cross(SELL),Sell to Close,-16.0,$69.01,4/26/18,$119.38,$119.38,0.0,
